code_1c,description,print_name,sku,reference,group,item_type,vat_rate,uom,hs_code
           ,"Distal Femoral Nail, Φ11×340mm","Distal Femoral Nail, Φ11×340mm",3051030340,"Distal Femoral Nail, Φ11×340mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ11×360mm","Distal Femoral Nail, Φ11×360mm",3051030360,"Distal Femoral Nail, Φ11×360mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ11×380mm","Distal Femoral Nail, Φ11×380mm",3051030380,"Distal Femoral Nail, Φ11×380mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ11×400mm","Distal Femoral Nail, Φ11×400mm",3051030400,"Distal Femoral Nail, Φ11×400mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Spiral Blade for Distal Femoral Nail, Φ12.5×50mm","Spiral Blade for Distal Femoral Nail, Φ12.5×50mm",3051060050,"Spiral Blade for Distal Femoral Nail, Φ12.5×50mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Spiral Blade for Distal Femoral Nail, Φ12.5×55mm","Spiral Blade for Distal Femoral Nail, Φ12.5×55mm",3051060055,"Spiral Blade for Distal Femoral Nail, Φ12.5×55mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Spiral Blade for Distal Femoral Nail, Φ12.5×60mm","Spiral Blade for Distal Femoral Nail, Φ12.5×60mm",3051060060,"Spiral Blade for Distal Femoral Nail, Φ12.5×60mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Spiral Blade for Distal Femoral Nail, Φ12.5×65mm","Spiral Blade for Distal Femoral Nail, Φ12.5×65mm",3051060065,"Spiral Blade for Distal Femoral Nail, Φ12.5×65mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Spiral Blade for Distal Femoral Nail, Φ12.5×70mm","Spiral Blade for Distal Femoral Nail, Φ12.5×70mm",3051060070,"Spiral Blade for Distal Femoral Nail, Φ12.5×70mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Spiral Blade for Distal Femoral Nail, Φ12.5×75mm","Spiral Blade for Distal Femoral Nail, Φ12.5×75mm",3051060075,"Spiral Blade for Distal Femoral Nail, Φ12.5×75mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Spiral Blade for Distal Femoral Nail, Φ12.5×80mm","Spiral Blade for Distal Femoral Nail, Φ12.5×80mm",3051060080,"Spiral Blade for Distal Femoral Nail, Φ12.5×80mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Spiral Blade for Distal Femoral Nail, Φ12.5×85mm","Spiral Blade for Distal Femoral Nail, Φ12.5×85mm",3051060085,"Spiral Blade for Distal Femoral Nail, Φ12.5×85mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Spiral Blade for Distal Femoral Nail, Φ12.5×90mm","Spiral Blade for Distal Femoral Nail, Φ12.5×90mm",3051060090,"Spiral Blade for Distal Femoral Nail, Φ12.5×90mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 40mm","6.0mm Locking Screw for Distal Femoral Nail, 40mm",3051050040,"6.0mm Locking Screw for Distal Femoral Nail, 40mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 45mm","6.0mm Locking Screw for Distal Femoral Nail, 45mm",3051050045,"6.0mm Locking Screw for Distal Femoral Nail, 45mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 50mm","6.0mm Locking Screw for Distal Femoral Nail, 50mm",3051050050,"6.0mm Locking Screw for Distal Femoral Nail, 50mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 55mm","6.0mm Locking Screw for Distal Femoral Nail, 55mm",3051050055,"6.0mm Locking Screw for Distal Femoral Nail, 55mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 60mm","6.0mm Locking Screw for Distal Femoral Nail, 60mm",3051050060,"6.0mm Locking Screw for Distal Femoral Nail, 60mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 65mm","6.0mm Locking Screw for Distal Femoral Nail, 65mm",3051050065,"6.0mm Locking Screw for Distal Femoral Nail, 65mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 70mm","6.0mm Locking Screw for Distal Femoral Nail, 70mm",3051050070,"6.0mm Locking Screw for Distal Femoral Nail, 70mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 75mm","6.0mm Locking Screw for Distal Femoral Nail, 75mm",3051050075,"6.0mm Locking Screw for Distal Femoral Nail, 75mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 80mm","6.0mm Locking Screw for Distal Femoral Nail, 80mm",3051050080,"6.0mm Locking Screw for Distal Femoral Nail, 80mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 85mm","6.0mm Locking Screw for Distal Femoral Nail, 85mm",3051050085,"6.0mm Locking Screw for Distal Femoral Nail, 85mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"6.0mm Locking Screw for Distal Femoral Nail, 90mm","6.0mm Locking Screw for Distal Femoral Nail, 90mm",3051050090,"6.0mm Locking Screw for Distal Femoral Nail, 90mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,End Cap for Distal Femoral Nail,End Cap for Distal Femoral Nail,3051070000,End Cap for Distal Femoral Nail,Boneunion,Հատ,Без НДС,հատ,9021
           ,"End Cap for Distal Femoral Nail, long","End Cap for Distal Femoral Nail, long",3051070001,"End Cap for Distal Femoral Nail, long",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Suprapatellar Tibial Nail, Φ10×240mm","Suprapatellar Tibial Nail, Φ10×240mm",3050520240,"Suprapatellar Tibial Nail, Φ10×240mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,Distal Femoral Nail Instrument Set,Distal Femoral Nail Instrument Set,4804200001,Distal Femoral Nail Instrument Set,Boneunion,Հատ,Без НДС,հատ,9021
           ,Specific instruments for  GSSⅢ Polyaxial Reduction Screw,Specific instruments for  GSSⅢ Polyaxial Reduction Screw,4702000400,Specific instruments for  GSSⅢ Polyaxial Reduction Screw,Boneunion,Հատ,Без НДС,հատ,9021
           ,"GSSⅢ Reduction Forceps with Knob, 5.5/6.0","GSSⅢ Reduction Forceps with Knob, 5.5/6.0",4702000300,"GSSⅢ Reduction Forceps with Knob, 5.5/6.0",Boneunion,Հատ,Без НДС,հատ,9021
           ,Screwdriver for GSS Ⅲ Locking Nut,Screwdriver for GSS Ⅲ Locking Nut,4701200900,Screwdriver for GSS Ⅲ Locking Nut,Boneunion,Հատ,Без НДС,հատ,9021
           ,Screwdriver for GSSⅢ Polyaxial Reduction Screw,Screwdriver for GSSⅢ Polyaxial Reduction Screw,4701200600,Screwdriver for GSSⅢ Polyaxial Reduction Screw,Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Lateral Tibial Locking Plate, left, 15 Holes","Distal Lateral Tibial Locking Plate, left, 15 Holes",3010261015,"Distal Lateral Tibial Locking Plate, left, 15 Holes",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Lateral Tibial Locking Plate, right, 15 Holes","Distal Lateral Tibial Locking Plate, right, 15 Holes",3010262015,"Distal Lateral Tibial Locking Plate, right, 15 Holes",Boneunion,Հատ,Без НДС,հատ,9021
           ,"GSSⅢ Polyaxial Reduction Screw,φ4.0×31mm(5.5 system)","GSSⅢ Polyaxial Reduction Screw,φ4.0×31mm(5.5 system)",3245094031,"GSSⅢ Polyaxial Reduction Screw,φ4.0×31mm(5.5 system)",Boneunion,Հատ,Без НДС,հատ,9021
           ,"GSSⅢ Polyaxial Reduction Screw,φ4.5×31mm(5.5 system)","GSSⅢ Polyaxial Reduction Screw,φ4.5×31mm(5.5 system)",3245094531,"GSSⅢ Polyaxial Reduction Screw,φ4.5×31mm(5.5 system)",Boneunion,Հատ,Без НДС,հատ,9021
           ,"GSSⅢ Polyaxial Reduction Screw,φ5.0×31mm(5.5 system)","GSSⅢ Polyaxial Reduction Screw,φ5.0×31mm(5.5 system)",3245095031,"GSSⅢ Polyaxial Reduction Screw,φ5.0×31mm(5.5 system)",Boneunion,Հատ,Без НДС,հատ,9021
           ,"GSSⅢ Polyaxial Reduction Screw,φ5.0×41mm(5.5 system)","GSSⅢ Polyaxial Reduction Screw,φ5.0×41mm(5.5 system)",3245095041,"GSSⅢ Polyaxial Reduction Screw,φ5.0×41mm(5.5 system)",Boneunion,Հատ,Без НДС,հատ,9021
           ,"GSSⅢ Polyaxial Reduction Screw,φ5.5×41mm(5.5 system)","GSSⅢ Polyaxial Reduction Screw,φ5.5×41mm(5.5 system)",3245095541,"GSSⅢ Polyaxial Reduction Screw,φ5.5×41mm(5.5 system)",Boneunion,Հատ,Без НДС,հատ,9021
           ,"GSSⅢ Polyaxial Reduction Screw,φ5.5×46mm(5.5 system)","GSSⅢ Polyaxial Reduction Screw,φ5.5×46mm(5.5 system)",3245095546,"GSSⅢ Polyaxial Reduction Screw,φ5.5×46mm(5.5 system)",Boneunion,Հատ,Без НДС,հատ,9021
