sku,retail_price,purchase_price
10010.7.2,1.0,
BO.502.06,1000.0,
BO.501.05,220000.0,
BO.501.04,1000.0,
BO.501.06,220000.0,
BO.502.04,220000.0,
BO.502.05,220000.0,
BO.01.9928.L.10.T,220000.0,
BO.01.9928.R.10.T,220000.0,
BO.01.9928.L.06.T,270000.0,
BO.01.9928.L.10.S,170000.0,
BO.01.9928.L.06.S,1000.0,
BO.01.9928.R.06.S,1000.0,
BO.01.9928.L.08.S,1000.0,
BO.01.9928.R.08.S,1000.0,
BO.9928.L.04.T,220000.0,
BO.9928.R.04.T,220000.0,
BO.9928.L.06.T,220000.0,
BO.9928.R.06.T,220000.0,
BO.9928.L.08.T,220000.0,
BO.9928.R.08.T,220000.0,
BO.9928.L.04.S,170000.0,
BO.9928.R.04.S,170000.0,
BO.9928.L.06.S,170000.0,
BO.9928.R.06.S,170000.0,
BO.9928.L.08.S,170000.0,
BO.9928.R.08.S,170000.0,
4211.1902,1000.0,
4212.1902,1000.0,
4211.1903,250000.0,
4212.1903,250000.0,
4211.1904,250000.0,
4212.1904,250000.0,
4211.1905,250000.0,
4212.1905,250000.0,
4211.1906,250000.0,
4212.1906,250000.0,
CO-3010,80000.0,
BMD-MD.2,5000.0,
2000-00001,,83000.0
30236.2.12.S,3000.0,
1204.2012,5000.0,
30236.2.12.T.1,5000.0,
30236.2.14.S,3000.0,
1204.2014,5000.0,
30236.2.14.T.1,5000.0,
30236.2.16.S,3000.0,
1204.2016,5000.0,
30236.2.16.T.1,5000.0,
30236.2.18.S,3000.0,
1204.2018,5000.0,
30236.2.18.T.1,5000.0,
30236.2.20.S,3000.0,
1204.2020,5000.0,
30236.2.20.T.1,5000.0,
1204.2412,5000.0,
1204.2414,5000.0,
1204.2416,5000.0,
1204.2418,5000.0,
1204.2420,5000.0,
BOI.185.10.S,1000.0,
BOI.185.10.T,2000.0,
BOI.185.12.S,1000.0,
BOI.185.12.T,2000.0,
BOI.185.14.S,1000.0,
BOI.185.14.T,2000.0,
BOI.185.16.S,1000.0,
BOI.185.16.T,1000.0,
BOI.185.18.S,1000.0,
BOI.185.18.T,1000.0,
BOI.185.20.S,1000.0,
BOI.185.20.T,2000.0,
BOI.185.22.S,1000.0,
BOI.185.22.T,2000.0,
BOI.185.24.S,1000.0,
BOI.185.24.T,2000.0,
BOI.185.26.S,1000.0,
BOI.185.26.T,2000.0,
BOI.103.12.T,5000.0,
BO.102.14.S,3000.0,
BOI.103.14.T,5000.0,
BO.102.16.S,3000.0,
BOI.103.16.T,5000.0,
BO.102.18.S,3000.0,
BOI.103.18.T,5000.0,
BO.102.20.S,3000.0,
BOI.103.20.T,5000.0,
BO.102.22.S,3000.0,
BOI.103.22.T,5000.0,
