GROUP 5: zmd wire (20 items)

1. 30248.08.1.2.250 - ZM K-wire, 1.2/250mm SS
2. 30248.08.250 - ZM K-wire, 0.8/250mm SS
3. 30248.1.0.230 - ZM K-wire, 1.0/230mm SS
4. 30248.1.0.300 - ZM K-wire, 1.0/300mm SS
5. 30248.1.2.300 - ZM K-wire, 1.2/300 mm SS
6. 30248.1.5.300 - ZM K-wire, 1.5/300 mm SS
7. 30248.2.0.250 - ZM K-wire, 2.0/250mm SS
8. 30248.2.0.300 - ZM K-wire, 2.0/300mm SS
9. 30248.2.5.250 - ZM K-wire, 2.5/250mm SS
10. 30248.2.5.300 - ZM K-wire, 2.5/300mm SS
11. 30248.3.0.250 - ZM K-wire, 3.0/250mm SS
12. 30248.3.0.300 - ZM K-wire, 3.0/300mm SS
13. 30248.3.5.300 - ZM K-wire, 3.5/300mm SS
14. 30248.4.0.200 - ZM K-wire, 4.0/200mm SS
15. 30248.4.0.250 - ZM K-wire, 4.0/250mm SS
16. 30248.4.0.300 - ZM K-wire, 4.0/300mm SS
17. 9000.0410 - ZM Suture Wire 5m 0.8 mm SS
18. 9000.0411 - ZM Suture Wire 5m 0.6 mm SS
19. 9000.0412 - ZM Suture Wire 5m 1.0 mm SS
20. 9000.0413 - ZM Suture Wire 5m 1.2 mm SS


GROUP 6: Zimede (162 items)

46. BO.169.65.T - Locking Screw 5.0mm,65mm Ti
47. BO.169.70.T - Locking Screw 5.0mm,70mm Ti
48. BO.169.75.T - Locking Screw 5.0mm,75mm Ti
49. BO.169.80.T - Locking Screw 5.0mm,80mm Ti
50. BO.169.85.T - Locking Screw 5.0mm,85mm Ti
51. BO.169.90.T - Locking Screw 5.0mm,90mm Ti
52. Bo.182 T - Radial Head LCP RIM plate 2,4mm  2H
53. Bo.183 T - Radial Head LCP 2,4mm Right 2H
54. BO.186.10.S - Locking screw 2.4mm, 10mm S.S.
55. BO.186.12.S - Locking screw 2.4mm, 12mm S.S.
56. BO.186.14.S - Locking screw 2.4mm, 14mm S.S.
57. BO.186.16.S - Locking screw 2.4mm, 16mm S.S.
58. BO.186.18.S - Locking screw 2.4mm, 18mm S.S.
59. BO.186.20.S - Locking screw 2.4mm, 20mm S.S.
60. BO.186.22.S - Locking screw 2.4mm, 22mm S.S.
61. BO.186.24.S - Locking screw 2.4mm, 24mm S.S.
62. BO.186.26.S - Locking screw 2.4mm, 26mm S.S.
63. BO.186.28.S - Locking screw 2.4mm, 28mm S.S.
64. BO.186.30.S - Locking screw 2.4mm, 30mm S.S.
65. BO.204.32.S - Locking screw 2.7mm, 32mm S.S.
66. BO.204.34.S - Locking screw 2.7mm, 34mm S.S.
67. BO.204.36.S - Locking screw 2.7mm, 36mm S.S.
68. BO.204.38.S - Locking screw 2.7mm, 38mm S.S.
69. BO.204.40.S - Locking screw 2.7mm, 40mm S.S.
70. BO.268.L.04.T - Medial Proximal Tibia Locking Plate L 4h Ti 
71. BO.268.L.06.T - Medial Proximal Tibia Locking Plate L 6h Ti 
72. BO.268.L.08.T - Medial Proximal Tibia Locking Plate L 8h Ti 
73. BO.268.L.10.S - Medial Proximal Tibia Locking Plate L 10h S.S.
74. BO.268.L.10.T - Medial Proximal Tibia Locking Plate L 10h Ti 
75. BO.268.L.12.S - Medial Proximal Tibia Locking Plate L 12h S.S.
76. BO.268.L.12.T - Medial Proximal Tibia Locking Plate L 12h Ti 
77. BO.268.L.14.S - Medial Proximal Tibia Locking Plate L 14h S.S.
78. BO.268.L.14.T - Medial Proximal Tibia Locking Plate L 14h Ti 
79. BO.268.L.16.S - Medial Proximal Tibia Locking Plate L 16h S.S.
80. BO.268.L.16.T - Medial Proximal Tibia Locking Plate L 16h Ti 
81. BO.268.L.4.S - Medial Proximal Tibia Locking Plate L 4h S.S.
82. BO.268.L.6.S - Medial Proximal Tibia Locking Plate L 6h S.S.
83. BO.268.L.8.S - Medial Proximal Tibia Locking Plate L 8h S.S.
84. BO.268.R.04.T - Medial Proximal Tibia Locking Plate R 4h Ti 
85. BO.268.R.06.T - Medial Proximal Tibia Locking Plate R 6h Ti 
86. BO.268.R.08.T - Medial Proximal Tibia Locking Plate R 8h Ti 
87. BO.268.R.10.S - Medial Proximal Tibia Locking Plate R 10h S.S.
88. BO.268.R.10.T - Medial Proximal Tibia Locking Plate R 10h Ti 
89. BO.268.R.12.S - Medial Proximal Tibia Locking Plate R 12h S.S.
90. BO.268.R.12.T - Medial Proximal Tibia Locking Plate R 12h Ti 
91. BO.268.R.14.S - Medial Proximal Tibia Locking Plate R 14h S.S.
92. BO.268.R.14.T - Medial Proximal Tibia Locking Plate R 14h Ti 
93. BO.268.R.16.S - Medial Proximal Tibia Locking Plate R 16h S.S.
94. BO.268.R.16.T - Medial Proximal Tibia Locking Plate R 16h Ti 
95. BO.268.R.4.S - Medial Proximal Tibia Locking Plate R 4h S.S.
96. BO.268.R.6.S - Medial Proximal Tibia Locking Plate R 6h S.S.
97. BO.268.R.8.S - Medial Proximal Tibia Locking Plate R 8h S.S.
98. BO.509.R.4.L.S - OLECRANON LOCKING PLATE 3.5MM 4H LEFT S.S. 4H
99. BO.509.R.4.R.S - OLECRANON LOCKING PLATE 3.5MM 4H RIGHT S.S. 4H
100. BO.509.R.6.L.S - OLECRANON LOCKING PLATE 3.5MM 6H LEFT S.S. 6H
101. BO.509.R.6.R.S - OLECRANON LOCKING PLATE 3.5MM 6H RIGHT S.S. 6H
102. BO.509.R.8.L.S - OLECRANON LOCKING PLATE 3.5MM 6H LEFT S.S. 8H
103. BO.509.R.8.R.S - OLECRANON LOCKING PLATE 3.5MM 6H RIGHT S.S. 8H
104. BO.511.L.05.T - Anterolateral Distal Tibia LCP 3,5mm & L 5H Ti
105. BO.511.L.07.T - Anterolateral Distal Tibia LCP 3,5mm & L 7H Ti
106. BO.511.L.09.T - Anterolateral Distal Tibia LCP 3,5mm & L 9H Ti
107. BO.511.L.11.T - Anterolateral Distal Tibia LCP 3,5mm & L 11H Ti
108. BO.511.L.13.T - Anterolateral Distal Tibia LCP 3,5mm & L 13H Ti
109. BO.511.L.15.T - Anterolateral Distal Tibia LCP 3,5mm & L 15H Ti
110. BO.511.R.05.T - Anterolateral Distal Tibia LCP 3,5mm & R 5H Ti
111. BO.511.R.07.T - Anterolateral Distal Tibia LCP 3,5mm & R 7H Ti
112. BO.511.R.09.T - Anterolateral Distal Tibia LCP 3,5mm & R 9H Ti
