"name","owner","creation","modified","modified_by","docstatus","idx","item_code","uom","packing_unit","item_name","price_list","buying","selling","currency","price_list_rate","valid_from","lead_time_days","doctype"
"135qngfo9s","Administrator","2026-05-11 23:53:07.758855","2026-05-11 23:53:07.758855","Administrator","0","0","3051030380","Nos","0","Distal Femoral Nail, Φ11×380mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"135alluvli","Administrator","2026-05-11 23:53:07.796157","2026-05-11 23:53:07.796157","Administrator","0","0","3051030400","Nos","0","Distal Femoral Nail, Φ11×400mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"136a674sb8","Administrator","2026-05-11 23:53:07.823312","2026-05-11 23:53:07.823312","Administrator","0","0","3051060050","Nos","0","Spiral Blade for Distal Femoral Nail, Φ12.5×50mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"136hssrgta","Administrator","2026-05-11 23:53:07.843052","2026-05-11 23:53:07.843052","Administrator","0","0","3051060055","Nos","0","Spiral Blade for Distal Femoral Nail, Φ12.5×55mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"136ql22dlm","Administrator","2026-05-11 23:53:07.869914","2026-05-11 23:53:07.869914","Administrator","0","0","3051060060","Nos","0","Spiral Blade for Distal Femoral Nail, Φ12.5×60mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"136a9g100j","Administrator","2026-05-11 23:53:07.893574","2026-05-11 23:53:07.893574","Administrator","0","0","3051060065","Nos","0","Spiral Blade for Distal Femoral Nail, Φ12.5×65mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"1373pqafkg","Administrator","2026-05-11 23:53:07.919134","2026-05-11 23:53:07.919134","Administrator","0","0","3051060070","Nos","0","Spiral Blade for Distal Femoral Nail, Φ12.5×70mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"137cqs1aad","Administrator","2026-05-11 23:53:07.953448","2026-05-11 23:53:07.953448","Administrator","0","0","3051060075","Nos","0","Spiral Blade for Distal Femoral Nail, Φ12.5×75mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"137v18p38t","Administrator","2026-05-11 23:53:07.980610","2026-05-11 23:53:07.980610","Administrator","0","0","3051060080","Nos","0","Spiral Blade for Distal Femoral Nail, Φ12.5×80mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"1382vujbvt","Administrator","2026-05-11 23:53:08.010055","2026-05-11 23:53:08.010055","Administrator","0","0","3051060085","Nos","0","Spiral Blade for Distal Femoral Nail, Φ12.5×85mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"138c2abo60","Administrator","2026-05-11 23:53:08.041479","2026-05-11 23:53:08.041479","Administrator","0","0","3051060090","Nos","0","Spiral Blade for Distal Femoral Nail, Φ12.5×90mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"1381rmduet","Administrator","2026-05-11 23:53:08.068011","2026-05-11 23:53:08.068011","Administrator","0","0","3051050040","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 40mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"139fkqo7vf","Administrator","2026-05-11 23:53:08.098995","2026-05-11 23:53:08.098995","Administrator","0","0","3051050045","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 45mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13956aq99m","Administrator","2026-05-11 23:53:08.127084","2026-05-11 23:53:08.127084","Administrator","0","0","3051050050","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 50mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"139q8eu5iq","Administrator","2026-05-11 23:53:08.150833","2026-05-11 23:53:08.150833","Administrator","0","0","3051050055","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 55mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"1395ja33hg","Administrator","2026-05-11 23:53:08.178466","2026-05-11 23:53:08.178466","Administrator","0","0","3051050060","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 60mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13a9e9eqe8","Administrator","2026-05-11 23:53:08.202717","2026-05-11 23:53:08.202717","Administrator","0","0","3051050065","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 65mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13ase8r6sd","Administrator","2026-05-11 23:53:08.234754","2026-05-11 23:53:08.234754","Administrator","0","0","3051050070","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 70mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13ao8nfa2p","Administrator","2026-05-11 23:53:08.261700","2026-05-11 23:53:08.261700","Administrator","0","0","3051050075","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 75mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13auv1kotg","Administrator","2026-05-11 23:53:08.290161","2026-05-11 23:53:08.290161","Administrator","0","0","3051050080","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 80mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13b8cb2hge","Administrator","2026-05-11 23:53:08.317067","2026-05-11 23:53:08.317067","Administrator","0","0","3051050085","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 85mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13b0ihl4ae","Administrator","2026-05-11 23:53:08.345670","2026-05-11 23:53:08.345670","Administrator","0","0","3051050090","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, 90mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13bsvgrvgc","Administrator","2026-05-11 23:53:08.371834","2026-05-11 23:53:08.371834","Administrator","0","0","3051070000","Nos","0","End Cap for Distal Femoral Nail","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13ca40724f","Administrator","2026-05-11 23:53:08.410869","2026-05-11 23:53:08.410869","Administrator","0","0","3051070001","Nos","0","End Cap for Distal Femoral Nail, long","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13cq6a0ovg","Administrator","2026-05-11 23:53:08.458986","2026-05-11 23:53:08.458986","Administrator","0","0","3050520240","Nos","0","Suprapatellar Tibial Nail, Φ10×240mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13d7quik7g","Administrator","2026-05-11 23:53:08.497835","2026-05-11 23:53:08.497835","Administrator","0","0","4804200001","Nos","0","Distal Femoral Nail Instrument Set","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13dr278kek","Administrator","2026-05-11 23:53:08.545877","2026-05-11 23:53:08.545877","Administrator","0","0","4702000400","Nos","0","Specific instruments for  GSSⅢ Polyaxial Reduction Screw","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13der3m8ms","Administrator","2026-05-11 23:53:08.569505","2026-05-11 23:53:08.569505","Administrator","0","0","4702000300","Nos","0","GSSⅢ Reduction Forceps with Knob, 5.5/6.0","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13d5gtu6o2","Administrator","2026-05-11 23:53:08.593695","2026-05-11 23:53:08.593695","Administrator","0","0","4701200900","Nos","0","Screwdriver for GSS Ⅲ Locking Nut","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13eihljdu1","Administrator","2026-05-11 23:53:08.617727","2026-05-11 23:53:08.617727","Administrator","0","0","4701200600","Nos","0","Screwdriver for GSSⅢ Polyaxial Reduction Screw","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13elqqjq5j","Administrator","2026-05-11 23:53:08.645958","2026-05-11 23:53:08.645958","Administrator","0","0","3010261015","Nos","0","Distal Lateral Tibial Locking Plate, left, 15 Holes","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13eajn2qcv","Administrator","2026-05-11 23:53:08.671122","2026-05-11 23:53:08.671122","Administrator","0","0","3010262015","Nos","0","Distal Lateral Tibial Locking Plate, right, 15 Holes","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13ebfmsptt","Administrator","2026-05-11 23:53:08.691045","2026-05-11 23:53:08.691045","Administrator","0","0","3245094031","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ4.0×31mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13f4e8gbud","Administrator","2026-05-11 23:53:08.718990","2026-05-11 23:53:08.718990","Administrator","0","0","3245094531","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ4.5×31mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13fm3srmvv","Administrator","2026-05-11 23:53:08.745857","2026-05-11 23:53:08.745857","Administrator","0","0","3245095031","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ5.0×31mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13fogu58jr","Administrator","2026-05-11 23:53:08.769949","2026-05-11 23:53:08.769949","Administrator","0","0","3245095041","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ5.0×41mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13f3g9qc77","Administrator","2026-05-11 23:53:08.793843","2026-05-11 23:53:08.793843","Administrator","0","0","3245095541","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ5.5×41mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13grsi2end","Administrator","2026-05-11 23:53:08.822091","2026-05-11 23:53:08.822091","Administrator","0","0","3245095546","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ5.5×46mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13ghruiv6k","Administrator","2026-05-11 23:53:08.841838","2026-05-11 23:53:08.841838","Administrator","0","0","3245095551","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ5.5×51mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13griefj42","Administrator","2026-05-11 23:53:08.871110","2026-05-11 23:53:08.871110","Administrator","0","0","3245096541","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ6.5×41mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13g44r4ird","Administrator","2026-05-11 23:53:08.896396","2026-05-11 23:53:08.896396","Administrator","0","0","3245096546","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ6.5×46mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13hpaifton","Administrator","2026-05-11 23:53:08.923080","2026-05-11 23:53:08.923080","Administrator","0","0","3245096551","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ6.5×51mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13hrbr7nd3","Administrator","2026-05-11 23:53:08.953858","2026-05-11 23:53:08.953858","Administrator","0","0","3245097046","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ7.0×46mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13hn78ngdd","Administrator","2026-05-11 23:53:08.982258","2026-05-11 23:53:08.982258","Administrator","0","0","3245097051","Nos","0","GSSⅢ Polyaxial Reduction Screw,φ7.0×51mm(5.5 system)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13id00pfqt","Administrator","2026-05-11 23:53:09.021167","2026-05-11 23:53:09.021167","Administrator","0","0","3051010280","Nos","0","Distal Femoral Nail, long φ9×280mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13i3h4om4c","Administrator","2026-05-11 23:53:09.054416","2026-05-11 23:53:09.054416","Administrator","0","0","3051010300","Nos","0","Distal Femoral Nail, long φ9×300mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13iev0jt4q","Administrator","2026-05-11 23:53:09.095569","2026-05-11 23:53:09.095569","Administrator","0","0","3051060040","Nos","0","Spiral Blade for Distal Femoral Nail φ12.5×40mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13jqdjq31v","Administrator","2026-05-11 23:53:09.139079","2026-05-11 23:53:09.139079","Administrator","0","0","3051060045","Nos","0","Spiral Blade for Distal Femoral Nail φ12.5×45mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13j0602md6","Administrator","2026-05-11 23:53:09.171587","2026-05-11 23:53:09.171587","Administrator","0","0","3051050035","Nos","0","6.0mm Locking Screw for Distal Femoral Nail, φ6.0×35mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13ksgdp2fn","Administrator","2026-05-11 23:53:09.202885","2026-05-11 23:53:09.202885","Administrator","0","0","4803201200","Nos","0","SP Connecting Screw","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13kbg1cmrk","Administrator","2026-05-11 23:53:09.236039","2026-05-11 23:53:09.236039","Administrator","0","0","BO.155.07.S","Nos","0","SMALL COMPRESSION LOCKING PLATE 3.5MM S.S. 7H","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13k0cba334","Administrator","2026-05-11 23:53:09.262011","2026-05-11 23:53:09.262011","Administrator","0","0","BO.155.09.S","Nos","0","SMALL COMPRESSION LOCKING PLATE 3.5MM S.S. 9H","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13kq13qqqd","Administrator","2026-05-11 23:53:09.287633","2026-05-11 23:53:09.287633","Administrator","0","0","BO.155.11.S","Nos","0","SMALL COMPRESSION LOCKING PLATE 3.5MM S.S. 11H","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13lir9a868","Administrator","2026-05-11 23:53:09.316907","2026-05-11 23:53:09.316907","Administrator","0","0","BO.155.12.S","Nos","0","SMALL COMPRESSION LOCKING PLATE 3.5MM S.S. 12H","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13lkg9toj1","Administrator","2026-05-11 23:53:09.348747","2026-05-11 23:53:09.348747","Administrator","0","0","BO.155.07.T","Nos","0","SMALL COMPRESSION LOCKING PLATE 3.5MM Ti 7H","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13l0e0i66g","Administrator","2026-05-11 23:53:09.380871","2026-05-11 23:53:09.380871","Administrator","0","0","BO.155.09.T","Nos","0","SMALL COMPRESSION LOCKING PLATE 3.5MM Ti 9H","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13m47b96ch","Administrator","2026-05-11 23:53:09.405831","2026-05-11 23:53:09.405831","Administrator","0","0","BO.155.11.T","Nos","0","SMALL COMPRESSION LOCKING PLATE 3.5MM Ti 11H","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13mjbvtdfi","Administrator","2026-05-11 23:53:09.447771","2026-05-11 23:53:09.447771","Administrator","0","0","BO.155.12.T","Nos","0","SMALL COMPRESSION LOCKING PLATE 3.5MM Ti 12H","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13md30o37m","Administrator","2026-05-11 23:53:09.492251","2026-05-11 23:53:09.492251","Administrator","0","0","BO.9941.L.4.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 4h L S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13nf7mcs30","Administrator","2026-05-11 23:53:09.517814","2026-05-11 23:53:09.517814","Administrator","0","0","BO.9941.R.4.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 4h R S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13nvfhi5r9","Administrator","2026-05-11 23:53:09.544659","2026-05-11 23:53:09.544659","Administrator","0","0","BO.9941.L.6.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 6h L S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13n9j84mks","Administrator","2026-05-11 23:53:09.563833","2026-05-11 23:53:09.563833","Administrator","0","0","BO.9941.R.6.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 6h R S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13n5mevqk1","Administrator","2026-05-11 23:53:09.595066","2026-05-11 23:53:09.595066","Administrator","0","0","BO.9941.L.8.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 8h L S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13oj9mb062","Administrator","2026-05-11 23:53:09.626758","2026-05-11 23:53:09.626758","Administrator","0","0","BO.9941.R.8.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 8h R S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13oap4lt90","Administrator","2026-05-11 23:53:09.651307","2026-05-11 23:53:09.651307","Administrator","0","0","BO.9941.L.10.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 10h L S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13ool2e8ff","Administrator","2026-05-11 23:53:09.673973","2026-05-11 23:53:09.673973","Administrator","0","0","BO.9941.R.10.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 10h R S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13p020721e","Administrator","2026-05-11 23:53:09.710002","2026-05-11 23:53:09.710002","Administrator","0","0","BO.9941.L.12.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 12h L S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13ptkbukge","Administrator","2026-05-11 23:53:09.752595","2026-05-11 23:53:09.752595","Administrator","0","0","BO.9941.R.12.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 12h R S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13pt4vausu","Administrator","2026-05-11 23:53:09.787970","2026-05-11 23:53:09.787970","Administrator","0","0","BO.9941.L.14.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 14h L S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13qb28i715","Administrator","2026-05-11 23:53:09.819613","2026-05-11 23:53:09.819613","Administrator","0","0","BO.9941.R.14.S","Nos","0","Extra-Aarticular Distal Humerus Locking Plate 14h R S.S.","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13q1a0mfca","Administrator","2026-05-11 23:53:09.854537","2026-05-11 23:53:09.854537","Administrator","0","0","BO.9907.R.3.S","Nos","0","Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 3h R SS ","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13q8v03n0k","Administrator","2026-05-11 23:53:09.882984","2026-05-11 23:53:09.882984","Administrator","0","0","BO.9907.L.3.S","Nos","0","Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 3h L SS","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13rae14phg","Administrator","2026-05-11 23:53:09.905756","2026-05-11 23:53:09.905756","Administrator","0","0","BO.9907.R.5.S","Nos","0","Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 5h R SS","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13rpu5ods3","Administrator","2026-05-11 23:53:09.926638","2026-05-11 23:53:09.926638","Administrator","0","0","BO.9907.L.5.S","Nos","0","Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 5h L SS","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13rs08k7lp","Administrator","2026-05-11 23:53:09.947534","2026-05-11 23:53:09.947534","Administrator","0","0","BO.9907.R.7.S","Nos","0","Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 7h R SS","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
