"name","owner","creation","modified","modified_by","docstatus","idx","uom_name","enabled","must_be_whole_number","doctype"
"Gram-Force","Administrator","2026-04-19 23:12:12.983292","2026-04-19 23:12:12.983292","Administrator","0","0","Gram-Force","1","0","UOM"
"Gram/Cubic Centimeter","Administrator","2026-04-19 23:12:12.986934","2026-04-19 23:12:12.986934","Administrator","0","0","Gram/Cubic Centimeter","1","0","UOM"
"Gram/Cubic Meter","Administrator","2026-04-19 23:12:12.989519","2026-04-19 23:12:12.989519","Administrator","0","0","Gram/Cubic Meter","1","0","UOM"
"Gram/Cubic Millimeter","Administrator","2026-04-19 23:12:12.991915","2026-04-19 23:12:12.991915","Administrator","0","0","Gram/Cubic Millimeter","1","0","UOM"
"Gram/Litre","Administrator","2026-04-19 23:12:12.994219","2026-04-19 23:12:12.994219","Administrator","0","0","Gram/Litre","1","0","UOM"
"Hand","Administrator","2026-04-19 23:12:12.998465","2026-04-19 23:12:12.998465","Administrator","0","0","Hand","1","0","UOM"
"Hectare","Administrator","2026-04-19 23:12:13.001633","2026-04-19 23:12:13.001633","Administrator","0","0","Hectare","1","0","UOM"
"Hectogram/Litre","Administrator","2026-04-19 23:12:13.003719","2026-04-19 23:12:13.003719","Administrator","0","0","Hectogram/Litre","1","0","UOM"
"Hectometer","Administrator","2026-04-19 23:12:13.007234","2026-04-19 23:12:13.007234","Administrator","0","0","Hectometer","1","0","UOM"
"Hectopascal","Administrator","2026-04-19 23:12:13.009956","2026-04-19 23:12:13.009956","Administrator","0","0","Hectopascal","1","0","UOM"
"Hertz","Administrator","2026-04-19 23:12:13.013769","2026-04-19 23:12:13.013769","Administrator","0","0","Hertz","1","0","UOM"
"Horsepower","Administrator","2026-04-19 23:12:13.016567","2026-04-19 23:12:13.016567","Administrator","0","0","Horsepower","1","0","UOM"
"Horsepower-Hours","Administrator","2026-04-19 23:12:13.018993","2026-04-19 23:12:13.018993","Administrator","0","0","Horsepower-Hours","1","0","UOM"
"Hour","Administrator","2026-04-19 23:12:13.022683","2026-04-19 23:12:13.022683","Administrator","0","0","Hour","1","0","UOM"
"Hundredweight (UK)","Administrator","2026-04-19 23:12:13.027843","2026-04-19 23:12:13.027843","Administrator","0","0","Hundredweight (UK)","1","0","UOM"
"Hundredweight (US)","Administrator","2026-04-19 23:12:13.033247","2026-04-19 23:12:13.033247","Administrator","0","0","Hundredweight (US)","1","0","UOM"
"Iches Of Water","Administrator","2026-04-19 23:12:13.037812","2026-04-19 23:12:13.037812","Administrator","0","0","Iches Of Water","1","0","UOM"
"Inch","Administrator","2026-04-19 23:12:13.044087","2026-04-19 23:12:13.044087","Administrator","0","0","Inch","1","0","UOM"
"Inch Pound-Force","Administrator","2026-04-19 23:12:13.048716","2026-04-19 23:12:13.048716","Administrator","0","0","Inch Pound-Force","1","0","UOM"
"Inch/Minute","Administrator","2026-04-19 23:12:13.053815","2026-04-19 23:12:13.053815","Administrator","0","0","Inch/Minute","1","0","UOM"
"Inch/Second","Administrator","2026-04-19 23:12:13.062840","2026-04-19 23:12:13.062840","Administrator","0","0","Inch/Second","1","0","UOM"
"Inches Of Mercury","Administrator","2026-04-19 23:12:13.068978","2026-04-19 23:12:13.068978","Administrator","0","0","Inches Of Mercury","1","0","UOM"
"Joule","Administrator","2026-04-19 23:12:13.075220","2026-04-19 23:12:13.075220","Administrator","0","0","Joule","1","0","UOM"
"Joule/Meter","Administrator","2026-04-19 23:12:13.079811","2026-04-19 23:12:13.079811","Administrator","0","0","Joule/Meter","1","0","UOM"
"Kelvin","Administrator","2026-04-19 23:12:13.084859","2026-04-19 23:12:13.084859","Administrator","0","0","Kelvin","1","0","UOM"
"Kg","Administrator","2026-04-19 23:12:13.093319","2026-04-19 23:12:13.093319","Administrator","0","0","Kg","1","0","UOM"
"Kiloampere","Administrator","2026-04-19 23:12:13.100523","2026-04-19 23:12:13.100523","Administrator","0","0","Kiloampere","1","0","UOM"
"Kilocalorie","Administrator","2026-04-19 23:12:13.106396","2026-04-19 23:12:13.106396","Administrator","0","0","Kilocalorie","1","0","UOM"
"Kilocoulomb","Administrator","2026-04-19 23:12:13.111740","2026-04-19 23:12:13.111740","Administrator","0","0","Kilocoulomb","1","0","UOM"
"Kilogram-Force","Administrator","2026-04-19 23:12:13.119209","2026-04-19 23:12:13.119209","Administrator","0","0","Kilogram-Force","1","0","UOM"
"Kilogram/Cubic Centimeter","Administrator","2026-04-19 23:12:13.125616","2026-04-19 23:12:13.125616","Administrator","0","0","Kilogram/Cubic Centimeter","1","0","UOM"
"Kilogram/Cubic Meter","Administrator","2026-04-19 23:12:13.133760","2026-04-19 23:12:13.133760","Administrator","0","0","Kilogram/Cubic Meter","1","0","UOM"
"Kilogram/Litre","Administrator","2026-04-19 23:12:13.138960","2026-04-19 23:12:13.138960","Administrator","0","0","Kilogram/Litre","1","0","UOM"
